D_pile,nb,x,y
400,4,202.7,118.9
400,4,-202.7,118.9
400,4,-202.7,-118.9
400,4,202.7,-118.9
400,5,179.2,152
400,5,-179.2,152
400,5,-179.2,-152
400,5,179.2,-152
400,5,235,0
400,6,235,0
400,6,-235,0
400,6,179.2,152
400,6,-179.2,152
400,6,-179.2,-152
400,6,179.2,-152
400,7,235,0
400,7,-235,0
400,7,126.3,198.2
400,7,-126.3,198.2
400,7,-126.3,-198.2
400,7,126.3,-198.2
400,7,235,0
400,8,221.8,77.6
400,8,-221.8,77.6
400,8,221.8,-77.6
400,8,-221.8,-77.6
400,8,126.3,198.2
400,8,-126.3,198.2
400,8,-126.3,-198.2
400,8,126.3,-198.2
400,9,221.8,77.6
400,9,-221.8,77.6
400,9,221.8,-77.6
400,9,-221.8,-77.6
400,9,99.9,212.7
400,9,-99.9,212.7
400,9,-99.9,-212.7
400,9,99.9,-212.7
400,9,235,0
500,4,245.1,145.4
500,4,-245.1,145.4
500,4,-245.1,-145.4
500,4,245.1,-145.4
500,5,216.6,185.2
500,5,-216.6,185.2
500,5,-216.6,-185.2
500,5,216.6,-185.2
500,5,285,0
500,6,285,0
500,6,-285,0
500,6,216.6,185.2
500,6,-216.6,185.2
500,6,-216.6,-185.2
500,6,216.6,-185.2
500,7,285,0
500,7,-285,0
500,7,191,211.6
500,7,-191,211.6
500,7,-191,-211.6
500,7,191,-211.6
500,7,285,0
500,8,274.9,75.2
500,8,-274.9,75.2
500,8,274.9,-75.2
500,8,-274.9,-75.2
500,8,191,211.6
500,8,-191,211.6
500,8,-191,-211.6
500,8,191,-211.6
500,9,274.9,75.2
500,9,-274.9,75.2
500,9,274.9,-75.2
500,9,-274.9,-75.2
500,9,131.1,253.1
500,9,-131.1,253.1
500,9,-131.1,-253.1
500,9,131.1,-253.1
500,9,285,0
500,10,285,0
500,10,-285,0
500,10,131.1,253.1
500,10,-131.1,253.1
500,10,-131.1,-253.1
500,10,131.1,-253.1
500,10,-245.3,-145.1
500,10,-245.3,145.1
500,10,245.3,145.1
500,10,245.3,-145.1
500,11,285,0
500,11,-285,0
500,11,128.3,254.5
500,11,-128.3,254.5
500,11,-128.3,-254.5
500,11,128.3,-254.5
500,11,-245.3,-145.1
500,11,-245.3,145.1
500,11,245.3,145.1
500,11,245.3,-145.1
500,11,285,0
600,4,287.5,171.9
600,4,-287.5,171.9
600,4,-287.5,-171.9
600,4,287.5,-171.9
600,5,254,218.4
600,5,-254,218.4
600,5,-254,-218.4
600,5,254,-218.4
600,5,335,0
600,6,335,0
600,6,-335,0
600,6,254,218.4
600,6,-254,218.4
600,6,-254,-218.4
600,6,254,-218.4
600,7,335,0
600,7,-335,0
600,7,226.1,247.2
600,7,-226.1,247.2
600,7,-226.1,-247.2
600,7,226.1,-247.2
600,7,335,0
600,8,326.8,73.7
600,8,-326.8,73.7
600,8,326.8,-73.7
600,8,-326.8,-73.7
600,8,226.1,247.2
600,8,-226.1,247.2
600,8,-226.1,-247.2
600,8,226.1,-247.2
600,9,326.8,73.7
600,9,-326.8,73.7
600,9,326.8,-73.7
600,9,-326.8,-73.7
600,9,203.8,265.9
600,9,-203.8,265.9
600,9,-203.8,-265.9
600,9,203.8,-265.9
600,9,335,0
600,10,335,0
600,10,-335,0
600,10,203.8,265.9
600,10,-203.8,265.9
600,10,-203.8,-265.9
600,10,203.8,-265.9
600,10,-302.6,-143.8
600,10,-302.6,143.8
600,10,302.6,143.8
600,10,302.6,-143.8
600,11,335,0
600,11,-335,0
600,11,139.6,304.5
600,11,-139.6,304.5
600,11,-139.6,-304.5
600,11,139.6,-304.5
600,11,-302.6,-143.8
600,11,-302.6,143.8
600,11,302.6,143.8
600,11,302.6,-143.8
600,11,335,0
600,12,326.8,73.7
600,12,-326.8,73.7
600,12,326.8,-73.7
600,12,-326.8,-73.7
600,12,139.6,304.5
600,12,-139.6,304.5
600,12,-139.6,-304.5
600,12,139.6,-304.5
600,12,-263.5,-206.8
600,12,-263.5,206.8
600,12,263.5,206.8
600,12,263.5,-206.8
600,13,326.8,73.7
600,13,-326.8,73.7
600,13,326.8,-73.7
600,13,-326.8,-73.7
600,13,139.6,304.5
600,13,-139.6,304.5
600,13,-139.6,-304.5
600,13,139.6,-304.5
600,13,-263.5,-206.8
600,13,-263.5,206.8
600,13,263.5,206.8
600,13,263.5,-206.8
600,13,335,0
700,4,332.8,193.7
700,4,-332.8,193.7
700,4,-332.8,-193.7
700,4,332.8,-193.7
700,5,294.3,248.3
700,5,-294.3,248.3
700,5,-294.3,-248.3
700,5,294.3,-248.3
700,5,385,0
700,6,385,0
700,6,-385,0
700,6,294.3,248.3
700,6,-294.3,248.3
700,6,-294.3,-248.3
700,6,294.3,-248.3
700,7,385,0
700,7,-385,0
700,7,258.5,285.3
700,7,-258.5,285.3
700,7,-258.5,-285.3
700,7,258.5,-285.3
700,7,385,0
700,8,378.1,72.6
700,8,-378.1,72.6
700,8,378.1,-72.6
700,8,-378.1,-72.6
700,8,258.5,285.3
700,8,-258.5,285.3
700,8,-258.5,-285.3
700,8,258.5,-285.3
700,9,378.1,72.6
700,9,-378.1,72.6
700,9,378.1,-72.6
700,9,-378.1,-72.6
700,9,233.8,305.9
700,9,-233.8,305.9
700,9,-233.8,-305.9
700,9,233.8,-305.9
700,9,385,0
700,10,385,0
700,10,-385,0
700,10,233.8,305.9
700,10,-233.8,305.9
700,10,-233.8,-305.9
700,10,233.8,-305.9
700,10,-357.6,-142.6
700,10,-357.6,142.6
700,10,357.6,142.6
700,10,357.6,-142.6
700,11,385,0
700,11,-385,0
700,11,220,316
700,11,-220,316
700,11,-220,-316
700,11,220,-316
700,11,-357.6,-142.6
700,11,-357.6,142.6
700,11,357.6,142.6
700,11,357.6,-142.6
700,11,385,0
700,12,378.1,72.6
700,12,-378.1,72.6
700,12,378.1,-72.6
700,12,-378.1,-72.6
700,12,220,316
700,12,-220,316
700,12,-220,-316
700,12,220,-316
700,12,-324.3,-207.5
700,12,-324.3,207.5
700,12,324.3,207.5
700,12,324.3,-207.5
700,13,378.1,72.6
700,13,-378.1,72.6
700,13,378.1,-72.6
